,seed,gamma,width,height,lag_p,ghost_opt_chance,pi_rand_perf,pi_star_perf,iteration,epsilon_baseline,pi_b_perf,nb_trajectories,method,hyperparam,method_perf,method_perf_no_neg,method_succ_rate,method_avoid_rate,run_time
0,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,500,shielded_baseline,,0.2867207373055679,0.28665878432281067,1.0,1.0,0.6653828620910645
1,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,500,MO_SPIBB,1.0,0.07136494548309887,0.21444141580287776,0.16316003353842012,0.16316003353842135,8.655057907104492
2,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,500,SPIBB,3.0,0.06631476755248963,0.22736241629191767,0.16020317531227343,0.16020317531227557,0.2513759136199951
3,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,500,shield-SPIBB,3.0,0.30319093702896,0.3031895593251302,1.0,1.0,0.2590980529785156
4,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,1000,shielded_baseline,,0.2867207373055679,0.28665878432281067,1.0,1.0,0.6660909652709961
5,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,1000,MO_SPIBB,1.0,0.09204317919426785,0.2221866530878159,0.17293177038007926,0.17293232953235382,14.732591152191162
6,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,1000,SPIBB,3.0,0.08821873220765329,0.22445948118936332,0.17209997321856502,0.17209997321856707,0.5188791751861572
7,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,1000,shield-SPIBB,3.0,0.35557396086542764,0.35559052531033125,1.0,1.0,0.5755100250244141
8,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,2500,shielded_baseline,,0.2867207373055679,0.28665878432281067,1.0,1.0,0.6612498760223389
9,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,2500,MO_SPIBB,1.0,0.1774898536237276,0.2827430116465402,0.2352021989586458,0.23520241544045017,28.85149097442627
10,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,2500,SPIBB,3.0,0.289793663210464,0.3861456843674004,0.27390882415191053,0.27390882415191364,1.9794042110443115
11,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,2500,shield-SPIBB,3.0,0.5060664720007416,0.5060647240989101,1.0,1.0,2.089456796646118
12,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,5000,shielded_baseline,,0.2867207373055679,0.28665878432281067,1.0,1.0,0.6612269878387451
13,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,5000,MO_SPIBB,1.0,0.4867521440688755,0.5727933048173539,0.3843257118692182,0.3843257118692195,42.41014790534973
14,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,5000,SPIBB,3.0,0.5442035782146241,0.6179848237687945,0.40634638284686514,0.4063463828468675,5.1634111404418945
15,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,5000,shield-SPIBB,3.0,0.6972360655438703,0.6972414481860123,1.0,1.0,5.023868799209595
16,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,10000,shielded_baseline,,0.2867207373055679,0.28665878432281067,1.0,1.0,0.6566250324249268
17,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,10000,MO_SPIBB,1.0,1.0077112303851203,1.0755014854694176,0.5729437815372503,0.5729441338747006,61.87102699279785
18,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,10000,SPIBB,3.0,0.9853317957375413,1.0462345838986222,0.5613271494167323,0.5613269940567354,9.99033498764038
19,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,10000,shield-SPIBB,3.0,1.1517768922993008,1.1517695637146157,1.0,1.0,9.838365077972412
20,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,15000,shielded_baseline,,0.2867207373055679,0.28665878432281067,1.0,1.0,0.6632070541381836
21,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,15000,MO_SPIBB,1.0,1.3483777364607041,1.4072831419383334,0.6682741538143084,0.6682741538143095,75.22267293930054
22,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,15000,SPIBB,3.0,1.406157613994154,1.4656397043496001,0.6485280561466746,0.6485276129175865,13.005727052688599
23,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,15000,shield-SPIBB,3.0,1.6339850328141634,1.6339851784954027,1.0,1.0,13.339681148529053
24,2906597030,0.95,7,7,0.0,0.75,-0.07920523809904122,0.0,0,0.5,0.0635243945156682,25000,shielded_baseline,,0.2867207373055679,0.28665878432281067,1.0,1.0,0.6644539833068848
