,seed,gamma,nb_states,nb_actions,nb_next_state_transition,iteration,softmax_target_perf_ratio,baseline_target_perf_ratio,threshold,baseline_perf,baseline_success_rate,baseline_avoid_rate,pi_rand_perf,pi_star_perf,pi_star_perf_no_neg,pi_star_succ_rate,pi_star_avoid_rate,pi_star_no_neg_perf,pi_star_no_neg_perf_no_neg,pi_star_no_neg_succ_rate,pi_star_no_neg_avoid_rate,pi_safety_star_perf,pi_safety_star_perf_no_neg,pi_safety_star_succ_rate,pi_safety_star_avoid_rate,nb_trajectories,method,hyperparam,method_perf,method_perf_no_neg,method_succ_rate,method_avoid_rate,run_time
0,1560864413,0.95,1000,4,4,0,0.75,0.5,0.2,-0.6522141016134765,0.20774365493070793,0.20774365493070768,-2.6259312095056635,0.4407390298619499,0.44609256344632864,0.998483712483064,0.9984837042298117,0.4124832644711546,0.4530006063361361,0.9826379337454021,0.9826379128340541,0.07677831054810992,0.07677831054810992,1.0,1.0,10,shielded_baseline,,0.043650357410995495,0.043650357410995495,1.0,1.0,0.003370046615600586
1,1560864413,0.95,1000,4,4,0,0.75,0.5,0.2,-0.6522141016134765,0.20774365493070793,0.20774365493070768,-2.6259312095056635,0.4407390298619499,0.44609256344632864,0.998483712483064,0.9984837042298117,0.4124832644711546,0.4530006063361361,0.9826379337454021,0.9826379128340541,0.07677831054810992,0.07677831054810992,1.0,1.0,10,SPIBB,3.0,-0.6682695472480472,0.0293955870897413,0.20335209967589632,0.20335209967589618,0.0004780292510986328
2,1560864413,0.95,1000,4,4,0,0.75,0.5,0.2,-0.6522141016134765,0.20774365493070793,0.20774365493070768,-2.6259312095056635,0.4407390298619499,0.44609256344632864,0.998483712483064,0.9984837042298117,0.4124832644711546,0.4530006063361361,0.9826379337454021,0.9826379128340541,0.07677831054810992,0.07677831054810992,1.0,1.0,10,shield-SPIBB,3.0,0.03852664601674196,0.03852664601674196,1.0,1.0,0.0004611015319824219
3,1560864413,0.95,1000,4,4,0,0.75,0.5,0.2,-0.6522141016134765,0.20774365493070793,0.20774365493070768,-2.6259312095056635,0.4407390298619499,0.44609256344632864,0.998483712483064,0.9984837042298117,0.4124832644711546,0.4530006063361361,0.9826379337454021,0.9826379128340541,0.07677831054810992,0.07677831054810992,1.0,1.0,10,MO_SPIBB,1.0,-0.652213255614508,0.03332734439375821,0.20774365493070868,0.20774365493071267,0.08028078079223633
4,1560864413,0.95,1000,4,4,0,0.75,0.5,0.2,-0.6522141016134765,0.20774365493070793,0.20774365493070768,-2.6259312095056635,0.4407390298619499,0.44609256344632864,0.998483712483064,0.9984837042298117,0.4124832644711546,0.4530006063361361,0.9826379337454021,0.9826379128340541,0.07677831054810992,0.07677831054810992,1.0,1.0,10,shielded_baseline_point,,0.043650357410995495,0.043650357410995495,1.0,1.0,0.003454923629760742
5,1560864413,0.95,1000,4,4,0,0.75,0.5,0.2,-0.6522141016134765,0.20774365493070793,0.20774365493070768,-2.6259312095056635,0.4407390298619499,0.44609256344632864,0.998483712483064,0.9984837042298117,0.4124832644711546,0.4530006063361361,0.9826379337454021,0.9826379128340541,0.07677831054810992,0.07677831054810992,1.0,1.0,10,shield-SPIBB_point,3.0,0.03852664601674196,0.03852664601674196,1.0,1.0,0.0004570484161376953
6,1560864413,0.95,1000,4,4,0,0.75,0.5,0.2,-0.6522141016134765,0.20774365493070793,0.20774365493070768,-2.6259312095056635,0.4407390298619499,0.44609256344632864,0.998483712483064,0.9984837042298117,0.4124832644711546,0.4530006063361361,0.9826379337454021,0.9826379128340541,0.07677831054810992,0.07677831054810992,1.0,1.0,20,shielded_baseline,,0.043650357410995495,0.043650357410995495,1.0,1.0,0.003412961959838867
7,1560864413,0.95,1000,4,4,0,0.75,0.5,0.2,-0.6522141016134765,0.20774365493070793,0.20774365493070768,-2.6259312095056635,0.4407390298619499,0.44609256344632864,0.998483712483064,0.9984837042298117,0.4124832644711546,0.4530006063361361,0.9826379337454021,0.9826379128340541,0.07677831054810992,0.07677831054810992,1.0,1.0,20,SPIBB,3.0,-0.6681836924939492,0.029265172345687616,0.2031645929245791,0.20316459292458067,0.005136966705322266
8,1560864413,0.95,1000,4,4,0,0.75,0.5,0.2,-0.6522141016134765,0.20774365493070793,0.20774365493070768,-2.6259312095056635,0.4407390298619499,0.44609256344632864,0.998483712483064,0.9984837042298117,0.4124832644711546,0.4530006063361361,0.9826379337454021,0.9826379128340541,0.07677831054810992,0.07677831054810992,1.0,1.0,20,shield-SPIBB,3.0,0.038527060077414445,0.038527060077414445,1.0,1.0,0.005059719085693359
9,1560864413,0.95,1000,4,4,0,0.75,0.5,0.2,-0.6522141016134765,0.20774365493070793,0.20774365493070768,-2.6259312095056635,0.4407390298619499,0.44609256344632864,0.998483712483064,0.9984837042298117,0.4124832644711546,0.4530006063361361,0.9826379337454021,0.9826379128340541,0.07677831054810992,0.07677831054810992,1.0,1.0,20,MO_SPIBB,1.0,-0.6430350453565,0.0398336006337069,0.22743412071400063,0.22743412159817544,12.414725303649902
