,seed,gamma,width,height,slip_p,escape_p,pi_rand_perf,pi_star_perf,iteration,epsilon_baseline,pi_b_perf,nb_trajectories,method,hyperparam,method_perf,run_time
0,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,SPIBB,3.0,0.0016290809473755612,0.0036439895629882812
1,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,shield-SPIBB,3.0,0.0050953055151334425,0.003087759017944336
2,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,R_min,3.0,1.5658165939505392e-06,0.0009379386901855469
3,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,shield-R_min,3.0,1.5658165939505392e-06,0.0009071826934814453
4,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,DUIPI_bayesian,0.01,0.000316882177265514,0.17052698135375977
5,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,DUIPI_bayesian,0.05,0.00031690100939708643,1.6442551612854004
6,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,DUIPI_bayesian,0.1,0.0003221511370117496,0.1624159812927246
7,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,DUIPI_bayesian,0.5,0.04772791295835124,1.6989152431488037
8,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,DUIPI_bayesian,1.0,0.13745335223111804,1.65358304977417
9,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,DUIPI_bayesian,2.0,0.7652022887590783,1.654968023300171
10,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,DUIPI_bayesian,3.0,0.9387384100079769,1.668191909790039
11,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,shield-DUIPI_bayesian,0.01,0.000316882177265514,0.16329598426818848
12,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,shield-DUIPI_bayesian,0.05,0.00031690100939708643,1.6454598903656006
13,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,shield-DUIPI_bayesian,0.1,0.0003221511370117496,0.16292572021484375
14,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,shield-DUIPI_bayesian,0.5,0.0774493137318292,1.6956701278686523
15,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,shield-DUIPI_bayesian,1.0,0.2415680686671388,1.6675899028778076
16,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,shield-DUIPI_bayesian,2.0,0.2531527303766565,1.6475749015808105
17,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,shield-DUIPI_bayesian,3.0,0.24282362749336997,1.6562938690185547
18,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,RaMDP,0.05,0.17125049892327432,0.021435022354125977
19,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,shield-RaMDP,0.05,0.08981400777089506,0.025217056274414062
20,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,WorstCaseRMDP,,1.5658165939505392e-06,0.0040972232818603516
21,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,100,shield-WorstCaseRMDP,,8.492268085538309e-06,0.003798961639404297
22,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,250,SPIBB,3.0,0.8716476946582246,0.02058887481689453
23,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,250,shield-SPIBB,3.0,0.4834035556928187,0.02068305015563965
24,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,250,R_min,3.0,1.5658165939505392e-06,0.0011262893676757812
25,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,250,shield-R_min,3.0,1.5658165939505392e-06,0.0010831356048583984
26,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,250,DUIPI_bayesian,0.01,0.008123603504883888,0.16361117362976074
27,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,250,DUIPI_bayesian,0.05,0.008164023869901327,0.16164875030517578
28,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,250,DUIPI_bayesian,0.1,0.002634218389329935,0.15921568870544434
29,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,250,DUIPI_bayesian,0.5,0.040292966511966524,1.7953431606292725
30,4253695468,0.95,10,10,0.1,0.05,0.011323428362818301,3.1557322480196017,0,0.5,0.13862099647676732,250,DUIPI_bayesian,1.0,0.2486096307327356,1.690565824508667
