,seed,gamma,width,height,lag_p,pi_rand_perf,pi_star_perf,iteration,epsilon_baseline,pi_b_perf,nb_trajectories,method,hyperparam,method_perf,run_time
0,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,500,SPIBB,3,-1.2166019789630123,2.521003007888794
1,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,500,shield-SPIBB,3,-1.2093539305568644,2.526270866394043
2,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,500,DUIPI_bayesian,1,-1.1575913425358164,1340.757525920868
3,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,500,shield-DUIPI_bayesian,1,-0.8162180249758215,1360.717570066452
4,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,1000,SPIBB,3,-1.108680545084129,7.491866111755371
5,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,1000,shield-SPIBB,3,-1.0601451304728173,5.8069329261779785
6,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,1000,DUIPI_bayesian,1,-0.6929692771137793,1431.7369940280914
7,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,1000,shield-DUIPI_bayesian,1,-0.14027514133084246,1434.512344121933
8,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,2500,SPIBB,3,-0.5348560306126334,53.434072971343994
9,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,2500,shield-SPIBB,3,-0.3537165212752946,58.602360248565674
10,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,2500,DUIPI_bayesian,1,0.9800909690486259,1667.6933329105377
11,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,2500,shield-DUIPI_bayesian,1,1.3310308901480026,1729.9235301017761
12,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,5000,SPIBB,3,-0.07777044988526423,277.76356983184814
13,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,5000,shield-SPIBB,3,0.09345911315565068,232.50888419151306
14,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,5000,DUIPI_bayesian,1,2.1908749181210374,1994.4432151317596
15,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,5000,shield-DUIPI_bayesian,1,2.584233904040477,2024.3449170589447
16,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,10000,SPIBB,3,0.4428767536931394,767.3013000488281
17,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,10000,shield-SPIBB,3,0.5295043923549292,859.3687720298767
18,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,10000,DUIPI_bayesian,1,3.4477215257428284,2461.524418115616
19,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,10000,shield-DUIPI_bayesian,1,3.882323842629758,2537.9208619594574
20,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,15000,SPIBB,3,0.8656653835326273,1110.690750837326
21,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,15000,shield-SPIBB,3,0.9296372861439377,1214.7077622413635
22,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,15000,DUIPI_bayesian,1,4.3030336906419535,2788.478860139847
23,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,15000,shield-DUIPI_bayesian,1,4.510671858352012,2859.501098871231
24,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,20000,SPIBB,3,1.2845092032450731,1439.1834828853607
25,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,20000,shield-SPIBB,3,1.3462254359331796,1479.502875328064
26,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,20000,DUIPI_bayesian,1,4.291224185569675,3023.867192029953
27,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,20000,shield-DUIPI_bayesian,1,4.535151822329054,3084.857762813568
28,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,2500,SPIBB,3,1.2845092032450731,1439.084403038025
29,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,2500,shield-SPIBB,3,1.3462254359331796,1479.1028039455414
30,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,2500,DUIPI_bayesian,1,4.291224185569675,3026.5290038585663
31,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,0,0.5,-1.3790545284254425,2500,shield-DUIPI_bayesian,1,4.535151822329054,3078.181160926819
32,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,1,0.5,-1.3790545284254425,500,SPIBB,3,-1.3687029586945594,2.659327983856201
33,1234,0.95,7,7,0.0,-0.7919324544909165,0.0,1,0.5,-1.3790545284254425,500,shield-SPIBB,3,-1.3686950433243559,3.7636988162994385
