ID,TIME,FEATURE_0,FEATURE_1,ACTION,RISK,CLUSTER,NEXT_CLUSTER
0,1,0.3600214957692086,0.047425899127469084,1,-0.04,2,2
0,2,0.4325211927543048,0.20016877668302546,2,-0.04,2,2
0,3,1.2150977441964776,0.1754838027967539,3,-0.04,2,2
0,4,0.7943853007735344,0.7740109852256479,3,-0.04,2,2
0,5,0.7065837057476555,0.1559515909152569,1,-0.04,2,2
0,6,0.44533393899471785,0.3022675367153457,3,-0.04,2,2
0,7,0.9762233452607169,0.6724770428124812,1,-0.04,2,2
0,8,0.7428000420402929,0.432990213397074,2,-0.04,2,2
0,9,1.3295521836335649,0.7985538534168742,2,-0.04,2,2
0,10,2.2494348287862773,0.38468713644584673,2,-0.04,2,2
0,11,2.446199712442268,0.4178219460731465,3,-0.04,2,2
0,12,1.0240814936691618,0.22389040720050346,2,-0.04,2,2
0,13,2.269152830673371,0.4694540303317263,3,-0.04,2,2
0,14,1.5167864452343869,0.476555915405927,2,-0.04,2,2
0,15,2.5131545072744674,0.7724580128092543,1,-0.04,2,2
0,16,2.116831618061445,1.4003253030495768,2,-0.04,2,2
0,17,2.736546476647616,1.4031202391970612,3,-0.04,2,2
0,18,2.2551707613970473,1.3607562423577448,2,-0.04,2,2
0,19,2.5788346421643538,1.628343564664791,1,-0.04,2,2
0,20,2.7242030994593467,2.8643704545246322,2,-0.04,2,2
0,21,2.8228846749398495,2.861479482154807,1,-0.04,2,2
0,22,2.090784538220299,3.7051696379506325,2,-0.04,2,2
0,23,2.08120990209406,3.436941468346915,1,-0.04,2,2
0,24,2.450678279712778,4.465633722613976,1,-0.04,2,2
0,25,2.211213038862179,4.680711327556084,1,-0.04,2,2
0,26,2.274914283412714,4.0434370271279265,2,-0.04,2,2
0,27,3.493945278347597,4.024806225479998,2,-0.04,2,2
0,28,3.2191263622018553,4.176248441061696,2,-0.04,2,2
0,29,3.725797312909304,4.315004515500149,1,-0.04,2,2
0,30,3.314713372223299,4.24006407841888,3,-0.04,2,2
0,31,2.7613481269387954,4.828828383333621,1,-0.04,2,2
0,32,2.1071976461409347,4.459157562930661,2,-0.04,2,2
0,33,3.4950439889334075,4.894598683669062,1,-0.04,2,2
0,34,3.701394229571273,4.728367690391966,0,-0.04,2,2
0,35,3.9390807255090023,3.252870388473149,1,-0.04,2,2
0,36,3.207959215134407,4.978061961735643,1,-0.04,2,2
0,37,3.4788923468166026,4.8974826161715965,2,-0.04,2,2
0,38,3.1487710015300845,4.846301037326155,0,-0.04,2,2
0,39,3.574341674431153,3.4544007961163334,2,-0.04,2,2
0,40,3.0001245329008976,3.041605178895109,1,-0.04,2,2
0,41,3.7398468621018117,4.570345599843234,3,-0.04,2,2
0,42,2.475583380268715,4.936502779612794,2,-0.04,2,2
0,43,3.938349139689807,4.238459954205995,1,-0.04,2,2
0,44,3.5090077040118084,4.07119340165628,1,-0.04,2,2
0,45,3.6656025625098865,4.367889734740812,1,-0.04,2,2
0,46,3.515560732826759,4.801570740690629,3,-0.04,2,2
0,47,2.7833030501806375,4.479075574252169,2,-0.04,2,2
0,48,3.627743681630144,4.3857784425318975,1,-0.04,2,2
0,49,3.9752794432153884,4.653949135093166,1,-0.04,2,2
0,50,3.8579632454710184,4.704853598765576,2,-0.04,2,2
0,51,3.577596083587486,4.923236347919509,1,-0.04,2,2
0,52,3.213234896387407,4.5387538764659325,3,-0.04,2,2
0,53,2.8649303212190085,4.976592689082065,0,-0.04,2,2
0,54,2.427157890322933,3.330813888446695,2,-0.04,2,2
0,55,2.9150266830155234,3.528109829810136,1,-0.04,2,2
0,56,2.717505059345634,4.09711682998365,1,-0.04,2,2
0,57,2.266241386810073,4.642570562653635,2,-0.04,2,2
0,58,3.7404669699407154,4.614352141099784,2,-0.04,2,2
0,59,3.0052382762727703,4.287547382959943,2,-0.04,2,2
0,60,3.6789911396526724,4.375531768692285,1,-0.04,2,2
0,61,3.037785734768284,4.144952145317851,3,-0.04,2,2
