,seed,gamma,width,height,slip_p,escape_p,pi_rand_perf,pi_star_perf,iteration,epsilon_baseline,pi_b_perf,nb_trajectories,method,hyperparam,method_perf,run_time
0,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,100,SPIBB,3.0,0.12094100592082349,0.015794754028320312
1,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,100,shield-SPIBB,3.0,0.011057030040921078,0.017056703567504883
2,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,100,R_min,3.0,1.5658165939505392e-06,0.000720977783203125
3,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,100,shield-R_min,3.0,1.5658165939505392e-06,0.0006856918334960938
4,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,100,DUIPI_bayesian,1.0,0.03904415463253358,1.6559717655181885
5,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,100,shield-DUIPI_bayesian,1.0,0.03905511162233333,1.64127779006958
6,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,100,RaMDP,0.05,0.07054789392214009,0.03316926956176758
7,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,100,shield-RaMDP,0.05,0.07054789392214009,0.031162261962890625
8,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,100,WorstCaseRMDP,,0.03375897751331634,0.06710982322692871
9,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,100,shield-WorstCaseRMDP,,0.03378389630982716,0.8405182361602783
10,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,250,SPIBB,3.0,0.21400825908611654,0.02582716941833496
11,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,250,shield-SPIBB,3.0,0.09560097190829675,0.01946401596069336
12,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,250,R_min,3.0,1.5658165939505392e-06,0.0008821487426757812
13,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,250,shield-R_min,3.0,1.5658165939505392e-06,0.0008361339569091797
14,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,250,DUIPI_bayesian,1.0,0.18978099488223943,0.18866300582885742
15,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,250,shield-DUIPI_bayesian,1.0,0.18894132855937468,0.6026129722595215
16,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,250,RaMDP,0.05,0.4360105799495426,0.028146028518676758
17,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,250,shield-RaMDP,0.05,0.4360105799495426,0.0248870849609375
18,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,250,WorstCaseRMDP,,0.4470413565295659,0.08047604560852051
19,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,250,shield-WorstCaseRMDP,,0.4470413565295659,0.07349896430969238
20,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,500,SPIBB,3.0,0.48480651972005245,0.02180194854736328
21,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,500,shield-SPIBB,3.0,0.6197467297908281,0.02577996253967285
22,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,500,R_min,3.0,1.5658165939505392e-06,0.0012080669403076172
23,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,500,shield-R_min,3.0,1.5658165939505392e-06,0.0011560916900634766
24,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,500,DUIPI_bayesian,1.0,0.6864368644812495,1.6365032196044922
25,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,500,shield-DUIPI_bayesian,1.0,0.5347847142651835,1.6523420810699463
26,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,500,RaMDP,0.05,0.8580169349785073,0.029057025909423828
27,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,500,shield-RaMDP,0.05,0.8580169349785073,0.03208589553833008
28,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,500,WorstCaseRMDP,,0.4785950797163662,0.10171771049499512
29,2906597030,0.95,10,10,0.1,0.05,0.00793099443121608,3.1363679640592212,0,0.7,0.05782567993675527,500,shield-WorstCaseRMDP,,0.5916749798498294,0.32485032081604004
