,seed,gamma,nb_states,nb_actions,nb_next_state_transition,iteration,softmax_target_perf_ratio,baseline_target_perf_ratio,threshold,baseline_perf,baseline_success_rate,baseline_avoid_rate,pi_rand_perf,pi_star_perf,pi_star_perf_no_neg,pi_star_succ_rate,pi_star_avoid_rate,pi_star_no_neg_perf,pi_star_no_neg_perf_no_neg,pi_star_no_neg_succ_rate,pi_star_no_neg_avoid_rate,pi_safety_star_perf,pi_safety_star_perf_no_neg,pi_safety_star_succ_rate,pi_safety_star_avoid_rate,nb_trajectories,method,hyperparam,method_perf,method_perf_no_neg,method_succ_rate,method_avoid_rate,run_time
0,3527589225,0.95,1000,4,4,0,0.75,0.5,0.2,-0.5674095963967904,0.22460764293227634,0.22460764293227264,-2.3402657693451085,0.40545480282480156,0.4065418882920265,0.9993838535745753,0.9993837999211339,0.35742908894583514,0.4107483635280548,0.9724181834172495,0.9724182068436008,0.0609447358202672,0.0609447358202672,1.0,1.0,10,shielded_baseline,,0.04136189733012794,0.04136189733012794,1.0,1.0,0.0033600330352783203
1,3527589225,0.95,1000,4,4,0,0.75,0.5,0.2,-0.5674095963967904,0.22460764293227634,0.22460764293227264,-2.3402657693451085,0.40545480282480156,0.4065418882920265,0.9993838535745753,0.9993837999211339,0.35742908894583514,0.4107483635280548,0.9724181834172495,0.9724182068436008,0.0609447358202672,0.0609447358202672,1.0,1.0,10,SPIBB,3.0,-0.5674097219056004,0.03510278575019018,0.22460764293227634,0.22460764293227264,0.0027017593383789062
2,3527589225,0.95,1000,4,4,0,0.75,0.5,0.2,-0.5674095963967904,0.22460764293227634,0.22460764293227264,-2.3402657693451085,0.40545480282480156,0.4065418882920265,0.9993838535745753,0.9993837999211339,0.35742908894583514,0.4107483635280548,0.9724181834172495,0.9724182068436008,0.0609447358202672,0.0609447358202672,1.0,1.0,10,shield-SPIBB,3.0,0.04136189733012794,0.04136189733012794,1.0,1.0,0.0017020702362060547
3,3527589225,0.95,1000,4,4,0,0.75,0.5,0.2,-0.5674095963967904,0.22460764293227634,0.22460764293227264,-2.3402657693451085,0.40545480282480156,0.4065418882920265,0.9993838535745753,0.9993837999211339,0.35742908894583514,0.4107483635280548,0.9724181834172495,0.9724182068436008,0.0609447358202672,0.0609447358202672,1.0,1.0,10,MO_SPIBB,1.0,-0.5701123498240228,0.03699685908017908,0.22692345689173468,0.2269234569177382,2.5929698944091797
4,3527589225,0.95,1000,4,4,0,0.75,0.5,0.2,-0.5674095963967904,0.22460764293227634,0.22460764293227264,-2.3402657693451085,0.40545480282480156,0.4065418882920265,0.9993838535745753,0.9993837999211339,0.35742908894583514,0.4107483635280548,0.9724181834172495,0.9724182068436008,0.0609447358202672,0.0609447358202672,1.0,1.0,10,shielded_baseline_point,,0.04136189733012794,0.04136189733012794,1.0,1.0,0.0033698081970214844
5,3527589225,0.95,1000,4,4,0,0.75,0.5,0.2,-0.5674095963967904,0.22460764293227634,0.22460764293227264,-2.3402657693451085,0.40545480282480156,0.4065418882920265,0.9993838535745753,0.9993837999211339,0.35742908894583514,0.4107483635280548,0.9724181834172495,0.9724182068436008,0.0609447358202672,0.0609447358202672,1.0,1.0,10,shield-SPIBB_point,3.0,0.04136189733012794,0.04136189733012794,1.0,1.0,0.0016968250274658203
6,3527589225,0.95,1000,4,4,0,0.75,0.5,0.2,-0.5674095963967904,0.22460764293227634,0.22460764293227264,-2.3402657693451085,0.40545480282480156,0.4065418882920265,0.9993838535745753,0.9993837999211339,0.35742908894583514,0.4107483635280548,0.9724181834172495,0.9724182068436008,0.0609447358202672,0.0609447358202672,1.0,1.0,20,shielded_baseline,,0.04136189733012794,0.04136189733012794,1.0,1.0,0.0033850669860839844
7,3527589225,0.95,1000,4,4,0,0.75,0.5,0.2,-0.5674095963967904,0.22460764293227634,0.22460764293227264,-2.3402657693451085,0.40545480282480156,0.4065418882920265,0.9993838535745753,0.9993837999211339,0.35742908894583514,0.4107483635280548,0.9724181834172495,0.9724182068436008,0.0609447358202672,0.0609447358202672,1.0,1.0,20,SPIBB,3.0,-0.5833945132911225,0.041475997693696864,0.22932264920147208,0.22932264920147738,0.005342960357666016
8,3527589225,0.95,1000,4,4,0,0.75,0.5,0.2,-0.5674095963967904,0.22460764293227634,0.22460764293227264,-2.3402657693451085,0.40545480282480156,0.4065418882920265,0.9993838535745753,0.9993837999211339,0.35742908894583514,0.4107483635280548,0.9724181834172495,0.9724182068436008,0.0609447358202672,0.0609447358202672,1.0,1.0,20,shield-SPIBB,3.0,0.04882482998241053,0.04882482998241053,1.0,1.0,0.002424955368041992
9,3527589225,0.95,1000,4,4,0,0.75,0.5,0.2,-0.5674095963967904,0.22460764293227634,0.22460764293227264,-2.3402657693451085,0.40545480282480156,0.4065418882920265,0.9993838535745753,0.9993837999211339,0.35742908894583514,0.4107483635280548,0.9724181834172495,0.9724182068436008,0.0609447358202672,0.0609447358202672,1.0,1.0,20,MO_SPIBB,1.0,-0.5698541152646448,0.03882067044463021,0.23091715804799173,0.23091715810543512,11.676018953323364
